language_encoded,budget_scaled,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
7,-1.8613671836253345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0.45324040123068526,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0.20987254029253133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,-0.01988871951083048,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0.5385869328880738,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,-1.8613671836253345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,-1.8613671836253345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7,0.7068503889144988,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0.5312643602759916,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.6977832867275734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-1.8613671836253345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0.5312643602759916,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
7,0.39273716311752555,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0.6954235822200154,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,-1.8613671836253345,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
7,-1.8613671836253345,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0.6375398408354375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.805803299332689,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.6749946671755593,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
7,-1.8613671836253345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0.5964706730829944,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7,0.30150284500980384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
