original_language,budget,revenue,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,language_encoded
en,237000000,2787965087,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
en,300000000,961000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,245000000,880674609,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,250000000,1084939099,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,260000000,284139100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,258000000,890871626,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,260000000,591794936,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,280000000,1405403694,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,250000000,933959197,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,250000000,873260194,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,270000000,391081192,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
en,200000000,586090727,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,200000000,1065659812,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,255000000,89289910,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
en,225000000,662845518,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
en,225000000,419651413,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,220000000,1519557910,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,380000000,1045713802,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,225000000,624026776,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,250000000,956019788,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,215000000,752215857,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,310669540,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,250000000,958400000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,180000000,372234864,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,207000000,550000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,1845034188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7
