language_encoded,budget_scaled,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
5,-0.3301134620667311,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0.08892917555598262,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0.9150853304642712,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0.05297610186965283,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.8705667971130107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.05297610186965283,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
5,0.8589808921950843,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,0.5747777125903657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,0.7586770335876308,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
5,0.3731323493196066,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,-1.0751291592537464,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.3969193439551215,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
5,0.15573506063042264,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,-0.26912446976402493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,0.5747777125903657,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,-2.0468257150026252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
5,0.7311860086582388,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,0.3731323493196066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,-0.26912446976402493,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,0.48118138243273034,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.9569444106704746,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5,0.3247730878668537,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.7549729659107567,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,-0.11271618187368436,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1.5250244722705444,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,0.24533746811919643,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5,0.48118138243273034,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.6469239461487025,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,-0.26912446976402493,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,0.08892917555598262,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0.5747777125903657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
