original_language,budget,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,11000000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
en,2000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,400000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
en,20000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
en,65000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
en,19000000,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,61000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,19000000,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
en,7200000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,60000000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
en,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
en,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
en,40000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
en,130000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,52000000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
en,30000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,3800000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,10000000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
en,15000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,22000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
en,67000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
en,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,40000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
en,950000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
en,150000000,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
en,50000000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
en,12000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
en,165000000,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,1500000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,12000000,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
en,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
en,900000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,35000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
en,1000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,70000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
it,15000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,69000000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
en,28000000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,6000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,70000000,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
en,15000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,2000000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
en,25000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,35000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
en,7000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,12000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,20000000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
en,25000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,40000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,14000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fr,10000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,27000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
en,60000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,650000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
en,3000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
en,55000000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
en,54000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,10000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
en,40000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,175000000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
en,10000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
en,42000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tr,10000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,7000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,1000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
en,8000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,45000000,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
en,12000000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fr,22000000,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
en,42000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
en,6000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
en,10000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,35000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,68000000,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
en,2000000,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
en,30000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,14600000,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
en,7000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,150000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,54000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,12000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
en,48000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
